Age_ma,Pacific_d18O_trend,Pacific_d18O_low,Pacific_d18O_high
57.4,0.20,0.06,0.33
57.5,0.23,0.09,0.36
57.6,0.24,0.11,0.38
57.7,0.25,0.11,0.39
57.8,0.26,0.12,0.41
57.9,0.27,0.12,0.42
58,0.29,0.13,0.44
58.1,0.30,0.14,0.46
58.2,0.31,0.15,0.47
58.3,0.32,0.17,0.47
58.4,0.32,0.18,0.47
58.5,0.33,0.19,0.47
58.6,0.33,0.18,0.48
58.7,0.33,0.17,0.50
58.8,0.33,0.17,0.49
58.9,0.34,0.19,0.48
59,0.34,0.19,0.48
59.1,0.34,0.20,0.49
59.2,0.35,0.19,0.51
59.3,0.35,0.19,0.51
59.4,0.35,0.18,0.53
59.5,0.35,0.17,0.53
59.6,0.33,0.15,0.52
59.7,0.32,0.14,0.49
59.8,0.29,0.12,0.47
59.9,0.27,0.10,0.44
60,0.26,0.08,0.44
60.1,0.25,0.06,0.43
60.2,0.23,0.06,0.41
60.3,0.22,0.06,0.38
60.4,0.21,0.06,0.35
60.5,0.20,0.06,0.34
60.6,0.20,0.06,0.34
60.7,0.21,0.07,0.34
60.8,0.21,0.08,0.34
60.9,0.21,0.07,0.35
61,0.20,0.07,0.33
61.1,0.18,0.05,0.32
61.2,0.15,0.02,0.29
61.3,0.12,-0.02,0.26
61.4,0.09,-0.05,0.23
61.5,0.06,-0.08,0.20
61.6,0.04,-0.10,0.18
61.7,0.02,-0.12,0.16
61.8,0.01,-0.13,0.15
61.9,0.00,-0.15,0.15
62,-0.01,-0.16,0.15
62.1,-0.01,-0.17,0.16
62.2,-0.01,-0.17,0.16
62.3,0.00,-0.18,0.19
62.4,0.02,-0.17,0.21
62.5,0.04,-0.15,0.22
62.6,0.06,-0.13,0.25
62.7,0.08,-0.14,0.30
62.8,0.08,-0.19,0.35
62.9,0.07,-0.21,0.35
63,0.05,-0.20,0.31
63.1,0.03,-0.21,0.27
63.2,0.01,-0.23,0.24
63.3,0.00,-0.25,0.25
63.4,0.01,-0.26,0.28
63.5,0.04,-0.24,0.31
63.6,0.05,-0.22,0.33
63.7,0.05,-0.22,0.32
63.8,0.02,-0.23,0.27
63.9,-0.02,-0.28,0.24
64,-0.05,-0.31,0.22
64.1,-0.03,-0.30,0.23
64.2,0.03,-0.22,0.29
64.3,0.12,-0.13,0.38
64.4,0.20,-0.08,0.48
64.5,0.24,-0.04,0.52
64.6,0.23,-0.05,0.51
64.7,0.19,-0.11,0.49
64.8,0.16,-0.17,0.49
64.9,0.13,-0.22,0.48
65,0.14,-0.19,0.47
65.1,0.17,-0.11,0.45
65.2,0.20,-0.01,0.42
65.3,0.23,0.04,0.41
65.4,0.21,0.05,0.37
65.5,0.22,0.08,0.36
65.6,0.27,0.14,0.40
65.7,0.34,0.20,0.48
65.8,0.42,0.27,0.57
65.9,0.52,0.36,0.67
66,0.60,0.43,0.76
66.1,0.65,0.47,0.83
66.2,0.65,0.47,0.83
66.3,0.57,0.41,0.74
66.4,0.48,0.32,0.64
66.5,0.39,0.23,0.56
66.6,0.35,0.17,0.52
66.7,0.35,0.17,0.53
66.8,0.38,0.20,0.55
66.9,0.40,0.25,0.55
67,0.40,0.26,0.54
67.1,0.39,0.26,0.51
67.2,0.37,0.25,0.49
67.3,0.35,0.24,0.47
67.4,0.35,0.23,0.47
67.5,0.35,0.23,0.46
67.6,0.35,0.23,0.46
67.7,0.35,0.23,0.48
67.8,0.38,0.26,0.50
67.9,0.40,0.29,0.52
68,0.43,0.33,0.54
68.1,0.47,0.36,0.57
68.2,0.49,0.39,0.59
68.3,0.51,0.40,0.62
68.4,0.53,0.43,0.63
68.5,0.55,0.46,0.64
68.6,0.56,0.47,0.65
68.7,0.56,0.47,0.65
68.8,0.57,0.47,0.66
68.9,0.57,0.48,0.66
69,0.57,0.49,0.66
69.1,0.57,0.49,0.66
69.2,0.57,0.47,0.66
69.3,0.56,0.46,0.66
69.4,0.55,0.44,0.65
69.5,0.54,0.44,0.65
69.6,0.56,0.45,0.66
69.7,0.59,0.49,0.68
69.8,0.62,0.54,0.71
69.9,0.65,0.57,0.73
70,0.65,0.57,0.73
70.1,0.64,0.55,0.72
70.2,0.60,0.52,0.68
70.3,0.56,0.48,0.64
70.4,0.52,0.43,0.61
70.5,0.50,0.41,0.58
70.6,0.47,0.38,0.57
70.7,0.46,0.36,0.56
70.8,0.44,0.34,0.54
70.9,0.42,0.32,0.52
71,0.37,0.27,0.47
71.1,0.32,0.22,0.43
71.2,0.28,0.16,0.39
71.3,0.23,0.10,0.35
71.4,0.19,0.06,0.31
71.5,0.15,0.03,0.27
71.6,0.12,0.00,0.25
71.7,0.11,-0.03,0.24
71.8,0.10,-0.04,0.24
71.9,0.10,-0.06,0.25
72,0.09,-0.06,0.25
72.1,0.09,-0.08,0.25
72.2,0.07,-0.10,0.25
72.3,0.05,-0.14,0.25
72.4,0.04,-0.18,0.25
72.5,0.02,-0.21,0.25
72.6,0.01,-0.22,0.24
72.7,0.01,-0.23,0.24
72.8,0.02,-0.20,0.24
72.9,0.03,-0.18,0.24
73,0.04,-0.17,0.25
73.1,0.05,-0.15,0.26
73.2,0.06,-0.16,0.28
73.3,0.06,-0.16,0.28
73.4,0.06,-0.16,0.28
73.5,0.05,-0.16,0.27
73.6,0.05,-0.16,0.26
73.7,0.04,-0.17,0.26
73.8,0.04,-0.18,0.26
73.9,0.04,-0.21,0.28
74,0.02,-0.22,0.26
74.1,0.01,-0.22,0.24
74.2,0.01,-0.21,0.22
74.3,0.01,-0.21,0.22
74.4,0.01,-0.21,0.22
74.5,0.01,-0.20,0.22
74.6,0.02,-0.19,0.22
74.7,0.02,-0.18,0.22
74.8,0.03,-0.18,0.23
74.9,0.03,-0.22,0.29
75,0.04,-0.26,0.35
75.1,0.06,-0.29,0.41
75.2,0.06,-0.27,0.38
75.3,0.06,-0.26,0.37
75.4,0.06,-0.26,0.37
75.5,0.06,-0.31,0.42
75.6,0.05,-0.33,0.44
75.7,0.05,-0.32,0.42
75.8,0.03,-0.31,0.37
75.9,0.01,-0.33,0.35
76,-0.01,-0.37,0.36
76.1,-0.02,-0.40,0.36
76.2,-0.02,-0.38,0.34
76.3,-0.02,-0.34,0.30
76.4,-0.01,-0.34,0.31
76.5,-0.01,-0.36,0.34
76.6,-0.01,-0.40,0.38
76.7,0.00,-0.39,0.38
76.8,0.00,-0.38,0.38
76.9,0.00,-0.36,0.37
77,0.01,-0.33,0.35
77.1,0.01,-0.31,0.34
77.2,0.02,-0.30,0.33
77.3,0.02,,
